headline,snippet,web_url,lead_paragraph
{u'main': u'SENATE HOLDS UP TREATY WITH CANADA; Returns to Committee Pact for More Water From Niagara'},Sen returns Canadian-U S pact for Niagara River diversion for further study because of possible effect on action on project...,https://query.nytimes.com/gst/abstract.html?res=9F05EED6133BEF3ABC4D51DFB767838A659EDE,
{u'main': u'World Briefing | Americas: Canada: Deaths Linked To Tainted Water'},"Health officials say contamination of the water system in North Battleford, Saskatchewan, may have caused the death of 3 people and the illness of 100. Residents have been advised to boil water for a second week since parasites seeped into the dri...",https://www.nytimes.com/2001/05/05/world/world-briefing-americas-canada-deaths-linked-to-tainted-water.html,"Health officials say contamination of the water system in North Battleford, Saskatchewan, may have caused the death of 3 people and the illness of 100. Residents have been advised to boil water for a second week since parasites seeped into the drinking water. A year ago, 7 people died and 2,300 became ill in Walkerton, Ontario, after bacteria entered the town's water supply. A commission is investigating Canada's drinking water supplies and the qualifications of officials who run local water systems. Anthony DePalma (NYT)"
"{u'main': u'Canada Today: Back Home, a Hidden Harvest and Water Worries', u'print_headline': u'Canada Today: Back Home, a Hidden Harvest and Water Worries'}",Finding people whose personal stories could illustrate a larger issue for an article about Toronto’s runaway house prices was a challenge....,https://www.nytimes.com/2017/03/17/world/canada/canada-today-back-home-a-hidden-harvest-and-water-worries.html,Finding people whose personal stories could illustrate a larger issue for an article about Toronto’s runaway house prices was a challenge.
"{u'main': u'DIVISION OF WATER AT BORDER STUDIED; U.S.-Canada Unit Will Seek Amicable Sharing of Supply Along 1,000-Mile Area'}","WASHINGTON, Jan. 12 -- The search for an ""amicable division"" of waters flowing across a third of the border between the United States and Canada was undertaken today by the International Joint Commission. Officials described the assignment as prob...",https://query.nytimes.com/gst/abstract.html?res=9C0CE7DD1F38E33BBC4B52DFB7668383659EDE,"WASHINGTON, Jan. 12 -- The search for an ""amicable division"" of waters flowing across a third of the border between the United States and Canada was undertaken today by the International Joint Commission. Officials described the assignment as probably the largest project the commission ever had been asked to undertake."
"{u'main': u'Canadians Fear Trump\u2019s Budget Will Devastate Great Lakes', u'print_headline': u'In Canada, Dismay Over U.S. Proposal to Cut Funds to Clean Up the Great Lakes'}",The mayor of a city in Ontario was blunt: “What good is it having lower taxes when you can’t drink the water?”...,https://www.nytimes.com/2017/03/16/world/canada/trump-budget-canada-great-lakes.html,The mayor of a city in Ontario was blunt: “What good is it having lower taxes when you can’t drink the water?”
{u'main': u'ART EXHIBITS SELECTED; Water-Colors Will Be Shown in This Country and Canada.'},"A selection of 125 pictures from the combined exhibition of the American Water Color Society and the New York Water Color Club, now being shown at the American Fine Arts Building, 215 West Fifty-seventh Street, has been made for exhibition purpose...",https://query.nytimes.com/gst/abstract.html?res=9A0CE7DC1731EE3ABC4D52DFB766838E639EDE,"A selection of 125 pictures from the combined exhibition of the American Water Color Society and the New York Water Color Club, now being shown at the American Fine Arts Building, 215 West Fifty-seventh Street, has been made for exhibition purposes throughout this country and Canada, it was announced yesterday."
"{u'main': u'UTILITY IN CANADA CLEARS $2,064,941; Net of Shawinigan Water in 1940 Compares With 1939 Profit of $2,304,826'}","The 1940 annual report of the Shawinigan Water and Power Company, made public yesterday by James Wilson, president, showed a net income of $2,064,941 after all operating expenses, taxes and other charges. This net was equal to 95 cents each on 2,1...",https://query.nytimes.com/gst/abstract.html?res=950CE2DF123AE33BBC4F53DFB466838A659EDE,"The 1940 annual report of the Shawinigan Water and Power Company, made public yesterday by James Wilson, president, showed a net income of $2,064,941 after all operating expenses, taxes and other charges. This net was equal to 95 cents each on 2,178,250 shares of capital stock outstanding and compared with a net of $2,304,826, or $1.05 a share, in 1939."
"{u'main': u'$17,000,000 ISSUE TODAY.; Bonds of Shawinigan Water to Be Offered In Canada.'}",Shawinigan Water & Power Co of Montreal...,https://query.nytimes.com/gst/abstract.html?res=9B00E7DD1430E13BBC4D53DFB566838D629EDE,
{u'main': u'NORRIS URGES SALE OF POWER BY STATE; Senator Says Roosevelt Goes Only Half Way in His St. Lawrence Proposal. OBJECTS TO PRIVATE PROFIT Nebraskan Declares the People Should Have the Benefit of Electricity at Cost. Cites Rates in Canada. Would Eliminate Middleman.'},"WASHINGTON, March 14.--Senator George W. Norris, Republican, of Nebraska, an advocate of government ownership of power utilities, today commended that part of Governor Roosevelt's message to the......",https://query.nytimes.com/gst/abstract.html?res=9D07E5DC123EE33ABC4D52DFB5668382639EDE,"WASHINGTON, March 14.--Senator George W. Norris, Republican, of Nebraska, an advocate of government ownership of power utilities, today commended that part of Governor Roosevelt's message to the..."
"{u'main': u'BLAMES CHICAGO OFFICIALS.; Take $21,000,000 in Water Yearly From Canada, Beck Asserts.'}","Diversion of power from Gt Lakes system to City of Chicago incurs annual loss of $21,000,000, says Sir A Beck...",https://query.nytimes.com/gst/abstract.html?res=9407E3D91030E233A25752C1A96E9C946295D6CF,
{u'main': u'Canada to Ban All Phosphates In Detergents Over 2-Year Span'},"OTTAWA, Feb. 19 The Government, confident that it has the full backing of the 10 provinces, plans to ban phosphates in detergents in two years....",https://query.nytimes.com/gst/abstract.html?res=9E01E5DF173DE136A05753C2A9649C946190D6CF,"OTTAWA, Feb. 19 The Government, confident that it has the full backing of the 10 provinces, plans to ban phosphates in detergents in two years."
{u'main': u'CANADA CHARTING POLLUTION FIGHT; Cost of Program Put at Up to $4-Billion in Decade'},"OTTAWA, Nov. 22 -- The Canadian Government is charting a water cleanup program that may cost $3-billion to $4-billion over the next decade....",https://query.nytimes.com/gst/abstract.html?res=9C07E3D91238EF3BBC4B51DFB7678382679EDE,"OTTAWA, Nov. 22 -- The Canadian Government is charting a water cleanup program that may cost $3-billion to $4-billion over the next decade."
{u'main': u'WHEAT CROP SLUMP RAISES FLOUR PRICE; London Bread Cost Goes Up as Reports Show Conditions in Canada Are Serious. RAIN MAY AVERT CRISIS Manitoba Belt Shows Deterioration of Early Gains--Chicago Pit Forces New High Quotations. Plan to Seek Government Action. Rain Is Needed in Canada. Wheat Drops in Chicago.'},"LONDON, July 20.--The remarkable change in the wheat position during the past few weeks is attracting wide attention here, principally because the rise in grain prices has forced up flour and increased the cost of bread....",https://query.nytimes.com/gst/abstract.html?res=9D02E3D71038E23ABC4951DFB1668382639EDE,"LONDON, July 20.--The remarkable change in the wheat position during the past few weeks is attracting wide attention here, principally because the rise in grain prices has forced up flour and increased the cost of bread."
{u'main': u'POWER PROJECT FOR CANADA'},"Water power to be increased by dam at Lac Seul, Can...",https://query.nytimes.com/gst/abstract.html?res=9F04E7DB1238E23ABC4F52DFB0668383639EDE,
"{u'main': u'Canada Shooting Victim Dreamed of Water for Guinea Village', u'print_headline': u'Canada Shooting Victim Dreamed of Water for Guinea Village'}","A Guinea man killed in this week's shooting at a mosque in Canada was working to bring a steady supply of drinking water to his home village at the time of his death, relatives said Wednesday....",https://www.nytimes.com/aponline/2017/02/01/world/africa/ap-af-guinea-canada-shooting-victim.html,"A Guinea man killed in this week's shooting at a mosque in Canada was working to bring a steady supply of drinking water to his home village at the time of his death, relatives said Wednesday."
{u'main': u'U.S.-CANADA PACT ON NIAGARA IS SET'},"The United States and Canada agreed today to work for ''significant reductions'' in the contamination of the Niagara River by toxic chemicals.   A joint communique issued by Lee M. Thomas, Administrator of the Environmental Protection Agency, and ...",https://www.nytimes.com/1986/05/15/us/us-canada-pact-on-niagara-is-set.html,"The United States and Canada agreed today to work for ''significant reductions'' in the contamination of the Niagara River by toxic chemicals. A joint communique issued by Lee M. Thomas, Administrator of the Environmental Protection Agency, and Tom McMillan, Canada's Minister of the Environment, pledged the two nations to work toward a 50 percent reduction of some of the chemicals as a ''desirable'' target. In a separate agreement, meanwhile, Mr. McMillan and Interior Secretary Donald P. Hodel signed a plan intended to build the continent's dwindling populations of wild ducks and geese."
"{u'main': u'U.S., Canada Reach Pollution Pact; Improvements Noted'}","CHICAGO, May 31--Strengthening efforts to clean up the Great Lakes, the Environmental Protection Agency announced today a new agreement with Canada that would tighten pollution control guidelines and bring the entire Great Lakes Basin under survei...",https://query.nytimes.com/gst/abstract.html?res=9C0CEFDE1331E632A25752C0A9609C946990D6CF,"CHICAGO, May 31--Strengthening efforts to clean up the Great Lakes, the Environmental Protection Agency announced today a new agreement with Canada that would tighten pollution control guidelines and bring the entire Great Lakes Basin under surveillance."
{u'main': u'BAR TO OIL DUMPING IS URGED IN CANADA'},"OTTAWA, July 30 (Canadian Press)--Speedy action to clamp down on ships that dump oil in Canadian waters was urged in the House of Commons today....",https://query.nytimes.com/gst/abstract.html?res=9E00E7DE1730E333A05756C0A96E9C946792D6CF,"OTTAWA, July 30 (Canadian Press)--Speedy action to clamp down on ships that dump oil in Canadian waters was urged in the House of Commons today."
"{u'main': u""CANADA OPENS POWER CANAL; Water Turned Into Chippewa-- Queenston Development After Seven Years' Work.""}",Opening...,https://query.nytimes.com/gst/abstract.html?res=9E03E4D61539E133A25756C2A9649D946095D6CF,
{u'main': u'Great Lakes Level Study Asked by U.S. and Canada'},"US and Canada ask Internatl Joint Comm to study pollution in Lake Erie, Lake Ont and internatl sec of St Lawrence River...",https://www.nytimes.com/1964/10/09/great-lakes-level-study-asked-by-us-and-canada.html,"US and Canada ask Internatl Joint Comm to study pollution in Lake Erie, Lake Ont and internatl sec of St Lawrence River"
"{u'main': u""Delays Douse Canada's Heavy-Water Hopes; CANADA STYMIED ON HEAVY WATER""}",OTTAWA -- The failure of a new $105-million American-designed heavy water plant in Nova Scotia to come into production has dismayed Federal authorities here and embarrassed officials in the economically depressed Atlantic province....,https://query.nytimes.com/gst/abstract.html?res=9C07E2DA1739EF3BBC4C53DFBE668382679EDE,OTTAWA -- The failure of a new $105-million American-designed heavy water plant in Nova Scotia to come into production has dismayed Federal authorities here and embarrassed officials in the economically depressed Atlantic province.
{u'main': u'CANADA STRESSES POLLUTION SURVEY; Fleet Is Collecting Data on Lakes Erie and Ontario'},A small fleet is collecting information on the Great Lakes for the Canadian Government to aid in a campaign against water pollution. Also part of the project is an 80-foot tower in 40 feet of water on Lake Ontario. Attached to it are scientific in...,https://query.nytimes.com/gst/abstract.html?res=9B01E1DC143AE134BC4B51DFB7668382679EDE,A small fleet is collecting information on the Great Lakes for the Canadian Government to aid in a campaign against water pollution. Also part of the project is an 80-foot tower in 40 feet of water on Lake Ontario. Attached to it are scientific instruments.
{u'main': u'ARGUE IN HIGH COURT ON LAKE DIVERSION; Counsel for Protesting States Say Chicago Drainage Harms Commerce and Shore Property. AUTHORITY IS CHALLENGED Supreme Bench Is Told That the Permit Issued by War Secretary Violates Treaties With Canada.'},"WASHINGTON, April 23.--Arguments in the suit brought by New  York, Wisconsin and other Lake States opposing the right of Chicago to divert waters from Lake Michigan through the sanitary canal were begun today before the United States Supreme Court...",https://query.nytimes.com/gst/abstract.html?res=9404E7DB163CE73ABC4C51DFB2668383639EDE,"WASHINGTON, April 23.--Arguments in the suit brought by New York, Wisconsin and other Lake States opposing the right of Chicago to divert waters from Lake Michigan through the sanitary canal were begun today before the United States Supreme Court."
{u'main': u'Canada Asks Interpretation Of Supreme Court Ruling'},Canada asks interpretation of U S Supreme Court ruling on diversion of Great Lakes water...,https://query.nytimes.com/gst/abstract.html?res=9E01E2D61431EE3ABC4851DFB366838E639EDE,
"{u'main': u'J.B. DUKE AT HELM OF BIG VENTURE IN WATER POWER FOR CANADA; 1,200,000 Horsepower in Sight for Saguenay Development -- New England May Read Its Evening Paper by Power Sent From Wilderness -- Big Industries to Supplant Backwoods'}","IN that part of the Province of Quebec where the waters of Lake St. John find their outlet through the Saguenay River -- that is, in a section where a quiet farming community has existed for many years -- men are busy on a development scheme which...",https://query.nytimes.com/gst/abstract.html?res=9D00E4DE1630E333A2575BC2A9679C946295D6CF,"IN that part of the Province of Quebec where the waters of Lake St. John find their outlet through the Saguenay River -- that is, in a section where a quiet farming community has existed for many years -- men are busy on a development scheme which will have a far-reaching influence upon the industries of Canada and, quite possibly, upon those of the whole world."
{u'main': u'U.S.-Canada Lakes Pollution Pact Set'},"WASHINGTON, June 10 -- The United States and Canada agreed today on a joint program to eliminate water pollution in the Great Lakes by 1975....",https://query.nytimes.com/gst/abstract.html?res=9A01E7DC103FEF34BC4952DFB066838A669EDE,"WASHINGTON, June 10 -- The United States and Canada agreed today on a joint program to eliminate water pollution in the Great Lakes by 1975."
{u'main': u'U.S. AND CANADA ACT ON POLLUTED LAKES'},"OTTAWA, June 23 Repre- sentatives of the United States and Canada took first steps to- day to coordinate a joint plan to end pollution of the interna- tional waters of the Great Lakes and the St. Lawrence  River....",https://query.nytimes.com/gst/abstract.html?res=9801E6DD1539E63BBC4C51DFB066838B669EDE,"OTTAWA, June 23 Repre- sentatives of the United States and Canada took first steps to- day to coordinate a joint plan to end pollution of the interna- tional waters of the Great Lakes and the St. Lawrence River."
{u'main': u'NEW-YORK FORGERS ARRESTED IN CANADA.; SCARCITY OF WATER ON THE WEST SIDE. A DISHONEST BOARDING-HOUSE KEEPER ARRESTED. RAPID TRANSIT.'},"Repston, Joseph and David...",https://query.nytimes.com/gst/abstract.html?res=9D00EED61439E43BBC4052DFB266838E669FDE,
{u'main': u'Great Lakes Pollution; Canada and U.S. Still Seeking Solution; Effect of Latest Agreement Is in Doubt'},"LOS ANGELES, June 14 -- Lately there has been a growing current of comment, in Congress and elsewhere, that the nation's water pollution abatement program was moving too slowly....",https://query.nytimes.com/gst/abstract.html?res=9B01E5DB103FEF34BC4D52DFB066838A669EDE,"LOS ANGELES, June 14 -- Lately there has been a growing current of comment, in Congress and elsewhere, that the nation's water pollution abatement program was moving too slowly."
{u'main': u'DETERGENT CURB BEGINS IN CANADA; Phosphate Total Limited to 20% in Pollution Drive'},"Canada bans mfr of laundry detergents containing more than 20% phosphates; Min Greene lauds action; hopes it will act as further stimulus to US action; phosphates' harmful effects noted; under law mfr is subject to fines up to $5,000 for violation...",https://query.nytimes.com/gst/abstract.html?res=9E07E0DE153EE336A05751C0A96E9C946190D6CF,
{u'main': u'Canada Seeks Heavy Water From Soviet for Reactors'},Canada seeks water from USSR...,https://query.nytimes.com/gst/abstract.html?res=9500E5D9133BE73ABC4F52DFB6678382679EDE,
